p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,energy_storage_energy_capacity_mwh,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_vii
6018100,,,OREC,Offshore Wind,Beacon Wind,ORECRFP20-1,New,,Equinor Wind US LLC,,,Cancelled,25,,,,1230.00,2024-01-30T00:00:00.000,1230.00,,Article 7,,,,2028,,,,,,,,,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=68175
5765100,,,OREC,Offshore Wind,Empire Wind 2,ORECRFP20-1,New,,Equinor Wind US LLC,,,Cancelled,25,,,,1260.00,2024-01-30T00:00:00.000,1260.00,,Article 7,,,,,,,,,,,,https://www.permits.performance.gov/permitting-project/empire-wind-energy-project,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=22-T-0346&CaseSearch=Search
,25,27493,Tier 1,Solar,Blue Stone Solar,RESRFP17-1,New,"Blue Stone Solar, LLC","National Grid Renewables, LLC",,Ulster,Cancelled,20,12477,NY,32991,19.99,2024-01-30T00:00:00.000,19.99,POINT (-73.94911 42.07687),SEQR,,,,,Mid-Hudson,Hudson Valley,,621,,,,,
,,37649,Tier 1,Solar,Little Pond Solar,RESRFP17-1,New,"Little Pond Solar, LLC",Greenbacker Renewable Energy Corporation,,Orange,"Cancelled, subject to providing replacement contract security",20,12780,NY,45178,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.7313772 41.4071965),SEQR,,,,,Mid-Hudson,Hudson Valley,81.97,575,,,,,
,22.5,32184,Tier 1,Solar,Rising Solar,RESRFP17-1,New,Rising Solar LLC,"National Grid Renewables, LLC",,Orange,Cancelled,20,10990,NY,38619,20,2024-01-30T00:00:00.000,20,POINT (-74.358345 41.25477),SEQR,,,,,Mid-Hudson,Hudson Valley,,,,,,,
,,33884,Tier 1,Solar,Rock District Solar,RESRFP17-1,New,"Rock District Solar, LLC",Greenbacker Renewable Energy Corporation,https://orespermits.ny.gov/Public/MatterManagement/CaseMaster.aspx?MatterSeq=64957&MNO=23-00033,Schoharie,"Cancelled, subject to providing replacement contract security",20,12043,NY,40660,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.484745 42.68013),94-C,,,,,Mohawk Valley,Capital,76.2,564,,,,,
,,37106,Tier 1,Solar,Tayandenega Solar,RESRFP17-1,New,"Tayandenega Solar, LLC",Greenbacker Renewable Energy Corporation,,Montgomery,"Cancelled, subject to providing replacement contract security",20,13452,NY,44527,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.6003928 43.0448856),SEQR,,,,,Mohawk Valley,Capital,72.61,565,,,,,
,,36248,Tier 1,Solar,Sky High Solar,RESRFP17-1,New,"Sky High Solar, LLC",Boralex,,Onondaga,"Cancelled, subject to providing replacement contract security",20,13159,NY,43497,19.99,2024-01-30T00:00:00.000,19.99,POINT (-76.109945 42.79665),SEQR,,,,,Central New York,Central,74.06,545,,,,,
,,36774,Tier 1,Solar,Darby Solar,RESRFP17-1,New,"Darby Solar, LLC",MN8 Energy,,Washington,Operational,20,12154,NY,44128,19.99,2024-01-30T00:00:00.000,19.99,POINT (-73.585035 42.90228),SEQR,,,,2023,Capital Region,Capital,76.57,730,,,323810,,
,,109631,Tier 1,Solar,East Point Energy Center,RESRFP17-1,New,"East Point Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-f-0599,Schoharie,Under Development,20,13459,NY,131557,50,2024-01-30T00:00:00.000,50,POINT (-74.61747 42.7916711),Article 10,,,,2023,Mohawk Valley,Capital,78.68,619,,,,,
,,174412,Tier 1,Solar,Flint Mine Solar,RESRFP17-1,New,"Flint Mine Solar, LLC",D. E. Shaw Renewable Investments,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=18-F-0087,Greene,Under Development,20,12051,NY,209294,100,2024-01-30T00:00:00.000,100,POINT (-73.8001552 42.3480669),Article 10,,,,2026,Capital Region,Hudson Valley,88.64,637,,,,,
,,167141,Tier 1,Solar,High River Energy Center,RESRFP17-1,New,"High River Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0597,Montgomery,Under Development,20,12010,NY,200569,90,2024-01-30T00:00:00.000,90,POINT (-74.19217 42.94523),Article 10,,,,2024,Mohawk Valley,Capital,69.88,618,,,,,
,,35898,Tier 1,Solar,Janis Solar,RESRFP17-1,New,"Janis Solar, LLC",MN8 Energy,,Cortland,Operational,20,13040,NY,43077,19.99,2024-01-30T00:00:00.000,19.99,POINT (-75.9017453 42.5418885),SEQR,,,,2023,Central New York,Central,75.91,768,,,323808,,
,19.5,2039,Tier 1,Solar,Java Solar Energy Center,RESRFP17-1,New,Java Energy LLC,Invenergy,,Wyoming,Cancelled,20,14009,NY,2446,1.53,2024-01-30T00:00:00.000,1.53,POINT (-78.4190273 42.5329786),SEQR,,,,,Finger Lakes,West,,"12,380",,,,,
,23,35022,Tier 1,Solar,Magruder Solar,RESRFP17-1,New,"Magruder Solar, LLC",CS Energy,,Ulster,Cancelled,20,12525,NY,42026,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.15087 41.680775),SEQR,,,,,Mid-Hudson,Hudson Valley,,744,,,,,
,,40503,Tier 1,Solar,Pattersonville,RESRFP17-1,New,Pattersonville Solar Facility LLC,MN8 Energy,,Schenectady,Under Development,20,12137,NY,48603,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.1391242 42.8267127),SEQR,,,,2023,Capital Region,Capital,74.55,638,,,,,
,,35548,Tier 1,Solar,Regan Solar,RESRFP17-1,New,"Regan Solar, LLC",MN8 Energy,,Montgomery,Operational,20,12068,NY,42657,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.3809823 42.9573634),SEQR,,,,2023,Mohawk Valley,Capital,79.18,748,,,323812,,
,,977474,Tier 1,Land Based Wind,Alle-Catt Wind Farm,RESRFP17-1,New,Alle-Catt Wind Energy LLC,Invenergy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0282,Cattaraugus,"Cancelled, subject to providing replacement contract security",20,14009,NY,1172968,339.78,2024-01-30T00:00:00.000,339.78,POINT (-78.4190273 42.5329786),Article 10,,,,,Western New York,West,65.62,596,,,,,
,22.75,748174,Tier 1,Land Based Wind,Baron Winds,RESRFP17-1,New,Baron Winds LLC,RWE,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,Steuben,Cancelled,20,14826,NY,897808,272,2024-01-30T00:00:00.000,272,POINT (-77.5002615 42.4986438),Article 10,,,,,Southern Tier,Central,,396,,,,,
,,272706,Tier 1,Land Based Wind,Baron Winds II,RESRFP17-1,New,Baron Winds II LLC,RWE,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,Steuben,"Cancelled, subject to providing replacement contract security",20,14826,NY,327247,112.5,2024-01-30T00:00:00.000,112.5,POINT (-77.5002615 42.4986438),Article 10,,,,,Southern Tier,Central,69.62,396,,,,,
,,392644,Tier 1,Land Based Wind,Bluestone Wind,RESRFP17-1,New,"Bluestone Wind, LLC",Northland Power,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0559,Broome,Operational,20,13865,NY,471172,111.8,2024-01-30T00:00:00.000,121.8,POINT (-75.64285 42.07653),Article 10,6.2,6.2,,2023,Southern Tier,Mohawk Valley,67.72,579,,,323821,,
,,26149,Tier 1,Solar,Greene County Energy Properties,RESRFP17-1,New,"Greene County Energy Properties, LLC",Green County Energy Partners,,Greene,Under Development,20,12042,NY,31378,19.9,2024-01-30T00:00:00.000,19.9,POINT (-73.889996339 42.39780656),SEQR,,,,2024,Capital Region,Hudson Valley,91.09,577,,,,,
,,111164,Tier 1,Solar,Shepherd's Run Solar,RESRFP17-1,New,Hecate Energy Columbia County 1 LLC,Hecate Energy,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02553,Columbia,"Cancelled, subject to providing replacement contract security",20,12521,NY,133396,60,2024-01-30T00:00:00.000,60,POINT (-73.59207 42.14765),94-C,,,,,Capital Region,Capital,70.01,644,,,,,
,,354417,Tier 1,Land Based Wind,Baron Winds I,RESRFP17-1,New,Baron Winds LLC,RWE,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=15-f-0122,Steuben,Operational,20,14826,NY,425300,121.8,2024-01-30T00:00:00.000,121.8,POINT (-77.5002615 42.4986438),Article 10,,,,2023,Southern Tier,Central,69.62,396,,,323822,,
,,38472,Tier 1,Solar,Branscomb Solar,RESRFP17-1,New,"Branscomb Solar, LLC",MN8 Energy,,Washington,Operational,20,12834,NY,46166,20,2024-01-30T00:00:00.000,19.99,POINT (-73.50078 43.091155),SEQR,,,,2022,Capital Region,Capital,78,731,,,323811,,
,25.5,32103,Tier 1,Solar,Double Lock Solar,RESRFP17-1,New,"Double Lock Solar, LLC",Cypress Creek Renewables,,Montgomery,Cancelled,20,13339,NY,38523,19.99,2024-01-30T00:00:00.000,19.39,POINT (-74.6269854 42.9297647),,,,,,Mohawk Valley,Capital,,,,,,,
,,33972,Tier 1,Solar,Grissom Solar,RESRFP17-1,New,"Grissom Solar, LLC",MN8 Energy,,Montgomery,Operational,20,12095,NY,40766,20,2024-01-30T00:00:00.000,19.99,POINT (-74.370365 43.001485),SEQR,,,,2023,Mohawk Valley,Capital,81.05,682,,,323813,,
,17.9,20062,Tier 1,Hydroelectric,Lyons Falls Mill Redevelopment,RESRFP17-1,Existing,"Northbrook Lyons Falls, LLC",Kruger Energy,,Lewis,Cancelled,20,13368,NY,24074,3.28,2024-01-30T00:00:00.000,3.28,POINT (-75.3653622 43.6197333),,,,,,North Country,Mohawk Valley,,,Upgrade,,,,
,,33271,Tier 1,Solar,Puckett Solar,RESRFP17-1,New,"Puckett Solar, LLC",MN8 Energy,,Chenango,Operational,20,13746,NY,39925,20,2024-01-30T00:00:00.000,19.99,POINT (-75.845965 42.239925),SEQR,,,,2022,Southern Tier,Central,78.08,775,,,323809,,
,27,32613,Tier 1,Solar,Sunny Knoll Solar,RESRFP17-1,New,,,,Schoharie,Cancelled,20,12157,NY,39135,19.99,2024-01-30T00:00:00.000,19.39,POINT (-74.3084437 42.6656806),,,,,,Mohawk Valley,Capital,,,,,,,
,,368971,Tier 1,Solar,Horseshoe Solar,RESRFP18-1,New,Horseshoe Solar Energy LLC,Invenergy,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02480&CaseSearch=Search,Livingston,"Cancelled, subject to providing replacement contract security",20,14423,NY,442765,180,2024-01-30T00:00:00.000,180,POINT (-77.8498331 42.9703172),94-C,,,,,Finger Lakes,Genesee,70.57,710,,,,,
,,40223,Tier 1,Solar,Manchester Solar,RESRFP18-1,New,SunEast Manchester Solar LLC,SunEast Development LLC,,Ontario,"Cancelled, subject to providing replacement contract security",20,14432,NY,48267,19.99,2024-01-30T00:00:00.000,19.99,POINT (-77.13683 42.96328),SEQR,,,,,Finger Lakes,Central,67.41,913,,,,,
,,37999,Tier 1,Solar,SED Dog Corners Solar,RESRFP18-1,New,SunEast Dog Corners Solar LLC,SunEast Development LLC,,Cayuga,"Cancelled, subject to providing replacement contract security",20,13026,NY,45598,19.99,2024-01-30T00:00:00.000,19.99,POINT (-76.6981612 42.7509846),SEQR,,,,,Central New York,Central,67.13,584,,,,,
,,37999,Tier 1,Solar,SED Hills Solar,RESRFP18-1,New,SunEast Hills Solar LLC,SunEast Development LLC,,Herkimer,"Cancelled, subject to providing replacement contract security",20,13365,NY,45598,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.860045 43.0444),SEQR,,,,,Mohawk Valley,Mohawk Valley,66.67,581,,,,,
,,35022,Tier 1,Solar,SED Skyline Solar,RESRFP18-1,New,SunEast Skyline Solar LLC,SunEast Development LLC,,Oneida,"Cancelled, subject to providing replacement contract security",20,13476,NY,42026,19.99,2024-01-30T00:00:00.000,19.99,POINT (-75.54118 43.079),SEQR,,,,,Mohawk Valley,Mohawk Valley,68.64,670,,,,,
,,37999,Tier 1,Solar,SED Watkins Road Solar 1,RESRFP18-1,New,SunEast Watkins Solar 1 LLC,SunEast Development LLC,,Herkimer,"Cancelled, subject to providing replacement contract security",20,13340,NY,45598,19.99,2024-01-30T00:00:00.000,19.99,POINT (-75.068965 43.033565),SEQR,,,,,Mohawk Valley,Mohawk Valley,66.87,586,,,,,
,,38200,Tier 1,Solar,Silver Lake Solar,RESRFP18-1,New,Silver Lake Solar LLC,AES Corporation,,Wyoming,Cancelled,20,14530,NY,45840,24.99,2024-01-30T00:00:00.000,24.99,POINT (-78.00098 42.71946),SEQR,,,,,Finger Lakes,Central,75.12,629,,,,,
,18.45,35022,Tier 1,Solar,SunEast Clay Solar,RESRFP18-1,New,SunEast Clay Solar LLC,SunEast Development LLC,,Onondaga,Cancelled,20,13041,NY,42026,19.99,2024-01-30T00:00:00.000,19.99,POINT (-76.1433636 43.1635353),SEQR,,,,,Central New York,Central,,669,,,,,
,,27703,Tier 1,Solar,Bakerstand Solar 1,RESRFP18-1,New,Bakerstand Solar LLC,Olivewood Energy Development,,Cattaraugus,"Cancelled, subject to providing replacement contract security",20,14737,NY,33243,19.99,2024-01-30T00:00:00.000,19.99,POINT (-78.45721 42.33914),SEQR,,,,,Western New York,West,71.31,667,,,,,
,,32396,Tier 1,Solar,ELP Stillwater Solar,RESRFP18-1,New,ELP Stillwater Solar LLC,MN8 Energy,,Saratoga,Under Development,20,12118,NY,38875,19.99,2024-01-30T00:00:00.000,19.99,POINT (-73.6917352 42.9054478),SEQR,,,,2023,Capital Region,Capital,75.32,735,,,,,
,,591615,Tier 1,Solar,Excelsior Energy Center - Solar + Storage 2,RESRFP18-1,New,"Excelsior Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=19-F-0299&submit=Search,Genesee,"Cancelled, subject to providing replacement contract security",20,14422,NY,709938,280,2024-01-30T00:00:00.000,280,POINT (-78.063825 43.0796792),Article 10,80,20,,,Finger Lakes,Genesee,66.3,721,,,,,
,,200321,Tier 1,Solar,Mohawk Solar,RESRFP18-1,New,Mohawk Solar LLC,Avangrid Renewables,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0182,Montgomery,"Cancelled, subject to providing replacement contract security",20,13317,NY,240385,90.5,2024-01-30T00:00:00.000,90.5,POINT (-74.571155 42.90138),Article 10,,,,,Mohawk Valley,Capital,65.39,495,,,,,
,,319920,Tier 1,Solar,Morris Ridge Solar,RESRFP18-1,New,"Morris Ridge Solar Energy Center, LLC",EDF Renewables Development,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00025&CaseSearch=Search,Livingston,Under Development,20,14510,NY,383904,177,2024-01-30T00:00:00.000,177,POINT (-77.87418 42.72316),94-C,,,,2025,Finger Lakes,Central,72.06,717,,,,,
,,156629,Tier 1,Solar,Trelina Solar Energy Center,RESRFP18-1,New,Trelina Energy Center LLC,NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterSeq=59765&MNO=19-F-0366,Seneca,"Cancelled, subject to providing replacement contract security",20,13165,NY,187955,80,2024-01-30T00:00:00.000,80,POINT (-76.8627782 42.9013852),Article 10,,,,,Finger Lakes,Central,67.52,720,,,,,
,,106784,Tier 1,Solar,Watkins Glen Solar Energy Center,RESRFP18-1,New,"Watkins Glen Solar Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-01069&CaseSearch=Search,Schuyler,"Cancelled, subject to providing replacement contract security",20,14891,NY,128140,50,2024-01-30T00:00:00.000,50,POINT (-76.87248 42.378765),94-C,,,,,Southern Tier,Central,67.2,617,,,,,
,22,10342,Tier 1,Solar,Hannacroix Solar Facility,RESRFP18-1,New,Hannacroix Solar Facility LLC,Teichos Energy,,Greene,Cancelled,20,12087,NY,12410,4.99,2024-01-30T00:00:00.000,4.99,POINT (-73.8889424 42.4209431),SEQR,,,,,Capital Region,Hudson Valley,,"8,360",,,,,
,,393100,Tier 1,Land Based Wind,Heritage Wind,RESRFP18-1,New,Heritage Wind LLC,Apex Clean Energy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00026,Orleans,"Cancelled, subject to providing replacement contract security",20,14411,NY,471720,147,2024-01-30T00:00:00.000,147,POINT (-78.193475 43.243405),94-C,,,,,Finger Lakes,Genesee,67.01,571,,,,,
,,308737,Tier 1,Land Based Wind,High Bridge Wind and Battery,RESRFP18-1,New,"High Bridge Wind, LLC",Northland Power,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=18-f-0262,Chenango,"Cancelled, subject to providing replacement contract security",20,13780,NY,370484,99,2024-01-30T00:00:00.000,99,POINT (-75.491405 42.405655),Article 10,20,5,,,Southern Tier,Mohawk Valley,67.27,706,,,,,
,,894221,Tier 1,Land Based Wind,Canisteo Wind & Storage,RESRFP18-1,New,,Invenergy,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0205,Steuben,Cancelled,20,14855,NY,1073065,290,2024-01-30T00:00:00.000,290,POINT (-77.507045 42.125255),,,,,,Southern Tier,Central,,,,,,,
,,229329,Tier 1,Land Based Wind,Roaring Brook Wind,RESRFP18-1,New,PPM Roaring Brook LLC,Avangrid Renewables,,Lewis,Operational,20,13404,NY,275194,79.73,2024-01-30T00:00:00.000,77.7,POINT (-75.46908482 43.737220922),SEQR,,,,2021,North Country,Mohawk Valley,66.37,546,,,323790,,
,,36248,Tier 1,Solar,SunEast Fairway Solar,RESRFP19-1,New,SunEast Fairway Solar LLC,SunEast Development LLC,,St Lawrence,"Cancelled, subject to providing replacement contract security",20,13669,NY,43497,19.99,2024-01-30T00:00:00.000,19.99,POINT (-75.48625 44.69457),SEQR,,,,,North Country,Mohawk Valley,62.85,848,,,,,
,,36423,Tier 1,Solar,SunEast Flat Hill Solar,RESRFP19-1,New,SunEast Flat Hill Solar LLC,SunEast Development LLC,,Herkimer,"Cancelled, subject to providing replacement contract security",20,13365,NY,43707,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.860045 43.0444),SEQR,,,,,Mohawk Valley,Mohawk Valley,63.72,865,,,,,
,,36949,Tier 1,Solar,SunEast Grassy Knoll Solar,RESRFP19-1,New,SunEast Grassy Knoll Solar LLC,SunEast Development LLC,,Herkimer,"Cancelled, subject to providing replacement contract security",20,13365,NY,44338,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.860045 43.0444),SEQR,,,,,Mohawk Valley,Mohawk Valley,63.58,885,,,,,
,,31361,Tier 1,Solar,SunEast Highview Solar,RESRFP19-1,New,SunEast Highview Solar LLC,SunEast Development LLC,,Wyoming,"Cancelled, subject to providing replacement contract security",20,14530,NY,37633,20,2024-01-30T00:00:00.000,20,POINT (-78.00098 42.71946),SEQR,,,,,Finger Lakes,West,63.38,591,,,,,
,,38175,Tier 1,Solar,SunEast Hilltop Solar,RESRFP19-1,New,SunEast Hilltop Solar LLC,SunEast Development LLC,,Rensselaer,"Cancelled, subject to providing replacement contract security",20,12154,NY,45810,19.99,2024-01-30T00:00:00.000,19.99,POINT (-73.585035 42.90228),SEQR,,,,,Capital Region,Capital,64.35,807,,,,,
,,36073,Tier 1,Solar,SunEast Limestone Solar,RESRFP19-1,New,SunEast Limestone Solar LLC,SunEast Development LLC,,Fulton,"Cancelled, subject to providing replacement contract security",20,12070,NY,43287,19.99,2024-01-30T00:00:00.000,19.99,POINT (-74.2326 42.9567),SEQR,,,,,Mohawk Valley,Capital,63.72,806,,,,,
,,145066,Tier 1,Solar,SunEast Tabletop Solar,RESRFP19-1,New,SunEast Tabletop Solar LLC,SunEast Development LLC,,Montgomery,"Cancelled, subject to providing replacement contract security",20,13339,NY,174079,80,2024-01-30T00:00:00.000,80,POINT (-74.6269854 42.9297647),94-C,,,,,Mohawk Valley,Capital,60.4,869,,,,,
,,37124,Tier 1,Solar,SunEast Valley Solar,RESRFP19-1,New,SunEast Valley Solar LLC,SunEast Development LLC,,Tioga,"Cancelled, subject to providing replacement contract security",20,13827,NY,44548,19.99,2024-01-30T00:00:00.000,19.99,POINT (-76.26612 42.105545),SEQR,,,,,Southern Tier,Central,63.07,828,,,,,
,,33446,Tier 1,Solar,Bald Mountain Solar,RESRFP19-1,New,Bald Mountain Solar LLC,Boralex,,Washington,"Cancelled, subject to providing replacement contract security",20,12834,NY,40135,19.99,2024-01-30T00:00:00.000,19.99,POINT (-73.50078 43.091155),SEQR,,,,,Capital Region,Capital,65.1,855,,,,,
,,36798,Tier 1,Solar,ELP Ticonderoga Solar,RESRFP19-1,New,ELP Ticonderoga Solar LLC,VC Renewables Holdings LLC,,Essex,Under Development,20,12883,NY,44157,19.99,2024-01-30T00:00:00.000,19.99,POINT (-73.4278717 43.8488221),SEQR,,,,2024,North Country,Capital,72.19,734,,,,,
,,194472,Tier 1,Solar,Greens Corners Solar,RESRFP19-1,New,Greens Corners Solar LLC,Boralex,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00982&CaseSearch=Search,Jefferson,"Cancelled, subject to providing replacement contract security",20,13601,NY,233366,120,2024-01-30T00:00:00.000,120,POINT (-75.9049969 43.9757948),94-C,,,,,North Country,Mohawk Valley,64.21,864,,,,,
,,33096,Tier 1,Solar,Martin Rd Solar,RESRFP19-1,New,"Martin Rd Solar, LLC",Olivewood Energy Development,,Cattaraugus,"Cancelled, subject to providing replacement contract security",20,14101,NY,39715,19.99,2024-01-30T00:00:00.000,19.99,POINT (-78.4903887 42.4241089),94-C,,,,,Western New York,West,68.8,666,,,,,
,,37649,Tier 1,Solar,Sandy Creek Solar,RESRFP19-1,New,Sandy Creek Solar LLC,Boralex,,Jefferson,"Cancelled, subject to providing replacement contract security",20,13605,NY,45178,19.99,2024-01-30T00:00:00.000,19.99,POINT (-76.024125 43.808985),SEQR,,,,,North Country,Mohawk Valley,66.51,843,,,,,
,,404449,Tier 1,Solar,South Ripley Solar and Storage,RESRFP19-1,New,ConnectGen Chautauqua County LLC,ConnectGen,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00750&CaseSearch=Search,Chautauqua,"Cancelled, subject to providing replacement contract security",20,14775,NY,485338,270,2024-01-30T00:00:00.000,270,POINT (-79.70987 42.26388),94-C,80,20,,,Western New York,West,66.95,783,,,,,
,,33446,Tier 1,Solar,West River Solar,RESRFP19-1,New,West River Solar LLC,Boralex,,Saratoga,"Cancelled, subject to providing replacement contract security",20,12831,NY,40135,19.99,2024-01-30T00:00:00.000,19.99,POINT (-73.76468 43.134105),SEQR,,,,,Capital Region,Capital,65.18,,,,,,
,,453768,Tier 1,Solar,Garnet Energy Center Storage 1,RESRFP19-1,New,"Garnet Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?Mattercaseno=20-F-0043,Cayuga,"Cancelled, subject to providing replacement contract security",20,13140,NY,544521,200,2024-01-30T00:00:00.000,200,POINT (-76.6261736 43.0355882),Article 10,80,20,,,Central New York,Genesee,69.21,883,,,,,
,,367394,Tier 1,Solar,North Side Energy Center,RESRFP19-1,New,"North Side Energy Center, LLC",NextEra Energy Resources,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0598&submit=Search,St Lawrence,Under Development,20,13662,NY,440872,180,2024-01-30T00:00:00.000,180,POINT (-74.88778 44.93404),Article 10,,,,2025,North Country,North,66.57,620,,,,,
,18.5,97083,Tier 1,Land Based Wind,Cohocton Wind Project,RESRFP19-1,Existing,"Canandaigua Power Partners, LLC",Brookfield Renewable,,Steuben,Operational,20,14826,NY,116499,37.09,2024-01-30T00:00:00.000,35.75,POINT (-77.5002615 42.4986438),SEQR,,,,2022,Southern Tier,Central,,,Upgrade,,323617,,
,18.5,14362,Tier 1,Land Based Wind,Steel Winds Wind Farm,RESRFP19-1,Existing,"Niagara Wind Power, LLC",Brookfield Renewable,,Erie,Operational,20,14218,NY,17234,5.84,2024-01-30T00:00:00.000,4.78,POINT (-78.82654 42.820135),SEQR,,,,2022,Western New York,West,,234,Upgrade,,323596,,
,18.5,7707,Tier 1,Land Based Wind,Steel Winds Wind Farm 2,RESRFP19-1,Existing,"Erie Wind, LLC",Brookfield Renewable,,Erie,Operational,20,14218,NY,9248,4.4,2024-01-30T00:00:00.000,2.57,POINT (-78.82654 42.820135),SEQR,,,,2021,Western New York,West,,234,Upgrade,,323693,,
,,449651,Tier 1,Land Based Wind,Prattsburgh Wind Farm,RESRFP19-1,New,"Prattsburgh Wind, LLC",Terra-Gen,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00749,Steuben,"Cancelled, subject to providing replacement contract security",20,14873,NY,539581,145,2024-01-30T00:00:00.000,145,POINT (-77.2854541 42.5262895),94-C,,,,,Southern Tier,Central,71.59,801,,,,,
,,208516,Tier 1,Solar,Rutland Center Solar 1,RESRFP20-1,New,"Rutland Center Solar 1, LLC",Cypress Creek Renewables,,Jefferson,"Cancelled, subject to providing replacement contract security",20,13601,NY,250219,110.2,2024-01-30T00:00:00.000,110.2,POINT (-75.9049969 43.9757948),94-C,,,,,North Country,Mohawk Valley,51.17,"1,077",,,,,
,,39225,Tier 1,Solar,SunEast Augustus Solar,RESRFP20-1,New,SunEast Augustus Solar LLC,SunEast Development LLC,,Oneida,"Cancelled, subject to providing replacement contract security",20,13425,NY,47070,19.99,2024-01-30T00:00:00.000,19.99,POINT (-75.4632174 42.9377832),SEQR,,,,,Mohawk Valley,Mohawk Valley,59.8,935,,,,,
,,415224,Tier 1,Solar,SunEast Flat Creek Solar,RESRFP20-1,New,SunEast Flat Creek Solar LLC,SunEast Development LLC,,Montgomery,"Cancelled, subject to providing replacement contract security",20,12166,NY,498269,200,2024-01-30T00:00:00.000,200,POINT (-74.5107117 42.8898869),94-C,,,,,Mohawk Valley,Capital,55.95,"1,089",,,,,
,,38175,Tier 1,Solar,SunEast Flat Stone Solar,RESRFP20-1,New,SunEast Flat Stone Solar LLC,SunEast Development LLC,,Oneida,"Cancelled, subject to providing replacement contract security",20,13478,NY,45810,19.99,2024-01-30T00:00:00.000,19.99,POINT (-75.58285 43.13375),SEQR,,,,,Mohawk Valley,Mohawk Valley,62.5,"1,000",,,,,
,,38875,Tier 1,Solar,SunEast Kingbird Solar,RESRFP20-1,New,SunEast Kingbird Solar LLC,SunEast Development LLC,,Chautauqua,"Cancelled, subject to providing replacement contract security",20,14048,NY,46650,19.99,2024-01-30T00:00:00.000,19.99,POINT (-79.33407 42.483225),SEQR,,,,,Western New York,West,59.35,"1,098",,,,,
